datetime,open,high,low,close,volume
1.64194E+12,1061.05,1061.68,1061.05,1061.68,300
1.64194E+12,1061,1061,1061,1061,1313
1.64194E+12,1061,1061,1060.2,1060.2,1255
1.64194E+12,1060.569,1060.569,1060.569,1060.569,150
1.64194E+12,1060.9999,1060.9999,1060.9999,1060.9999,100
1.64194E+12,1060.57,1060.57,1060.5,1060.5,1544
1.64194E+12,1060.75,1060.75,1060.75,1060.75,739
1.64194E+12,1061.29,1061.29,1061.29,1061.29,100
1.64194E+12,1061.9,1061.9,1061.9,1061.9,100
1.64194E+12,1061.03,1061.03,1061,1061,300
1.64194E+12,1060.77,1060.77,1060.77,1060.77,150
1.64194E+12,1060.76,1061,1060.75,1061,1039
1.64194E+12,1061,1061,1061,1061,100
1.64194E+12,1061.3,1061.3,1061.3,1061.3,141
1.64194E+12,1060.76,1060.76,1060.75,1060.75,1005
1.64194E+12,1060.75,1061.25,1060.75,1061.25,376
1.64194E+12,1061,1061.1,1061,1061.1,400
1.64194E+12,1061.29,1061.29,1061.29,1061.29,200
1.64194E+12,1061.58,1061.7,1061.5799,1061.7,808
1.64194E+12,1061.9,1062.2,1061.9,1062.2,478
1.64194E+12,1062,1062,1062,1062,109
1.64194E+12,1062.16,1062.2,1062.16,1062.2,424
1.64194E+12,1061.77,1061.77,1061.77,1061.77,200
1.64194E+12,1061.88,1061.9,1061.86,1061.86,485
1.64194E+12,1061.61,1061.61,1061.5,1061.5,560
1.64194E+12,1061.6,1061.9,1061.6,1061.9,282
1.64194E+12,1061.84,1061.84,1061.84,1061.84,200
1.64194E+12,1061.89,1062.06,1061.89,1062.06,761
1.64194E+12,1062.03,1062.03,1061.98,1062,1185
1.64194E+12,1062.3499,1062.3499,1062.3499,1062.3499,250
1.64194E+12,1062.0464,1062.0464,1062.0464,1062.0464,100
1.64194E+12,1062.38,1062.45,1062.38,1062.45,372
1.64194E+12,1062.13,1062.13,1062,1062,797
1.64194E+12,1062,1062,1062,1062,100
1.64194E+12,1062,1062,1062,1062,100
1.64194E+12,1062,1062,1062,1062,100
1.64194E+12,1062,1062,1062,1062,100
1.64194E+12,1062.38,1062.38,1062.38,1062.38,123
1.64194E+12,1061.97,1061.97,1061.97,1061.97,358
1.64194E+12,1061.88,1061.88,1061.88,1061.88,100
1.64194E+12,1061.26,1061.26,1061.26,1061.26,100
1.64194E+12,1061.99,1061.99,1061.99,1061.99,200
1.64194E+12,1061.3001,1061.4,1061.2601,1061.2601,362
1.64194E+12,1061.25,1061.25,1061,1061,839
1.64194E+12,1061.01,1061.01,1060.81,1060.81,500
1.64194E+12,1061.39,1061.89,1061.39,1061.89,240
1.64194E+12,1061.89,1061.89,1061.6,1061.6,300
1.64194E+12,1061.02,1061.02,1061.02,1061.02,126
1.64194E+12,1061.01,1061.01,1061.01,1061.01,100
1.64194E+12,1060.8,1060.8,1060.78,1060.78,328
1.64194E+12,1061,1061,1061,1061,100
1.64194E+12,1060.9999,1060.9999,1060.9999,1060.9999,100
1.64195E+12,1060.5,1060.5,1060.3,1060.3,381
1.64195E+12,1060.5,1060.5,1060.5,1060.5,100
1.64195E+12,1060.2,1060.2,1060.2,1060.2,101
1.64195E+12,1060,1060.2,1060,1060.2,568
1.64195E+12,1060.2499,1060.25,1060.2499,1060.25,420
1.64195E+12,1060.2,1060.2,1059.16,1059.16,3319
1.64195E+12,1059.99,1060.02,1059.99,1060.02,947
1.64195E+12,1060.5,1060.5,1060.5,1060.5,918
1.64195E+12,1060.9,1060.9,1060.9,1060.9,100
1.64195E+12,1060.5,1060.5,1060.5,1060.5,100
1.64195E+12,1059.9,1059.9,1059.9,1059.9,1977
1.64195E+12,1060.6,1060.65,1060.6,1060.6,584
1.64195E+12,1060.99,1060.99,1060.6,1060.6,847
1.64195E+12,1060.6,1060.6,1060.6,1060.6,100
1.64195E+12,1061,1061,1061,1061,1300
1.64195E+12,1060,1060,1060,1060,500
1.64195E+12,1060.4,1060.4,1059.52,1059.52,400
1.64195E+12,1059.2,1059.9,1059.2,1059.25,788
1.64195E+12,1059.67,1059.9,1059.67,1059.9,1104
1.64195E+12,1060,1060,1059.8,1059.8,398
